PARK_NAME,ACCESS_TYP,GIS_ACRES,AGNCY_NAME,AGNCY_TYP,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,IS_COUNTY,Shape__Area,Shape__Length
Dockweiler State Beach,Open Access,3.36821686,California Department of Parks and Recreation,State Agency,Natural Areas,33.93209143,-118.436011,12001 Vista Del Mar,Playa Del Rey,90293,No,146718.9395,2093.136064
Los Angeles/El Segundo Dunes ESHA,No Public Access,312.5415829,"Los Angeles, City of",City Agency,Natural Areas,33.94190515,-118.4376225,0,Playa Del Rey,90293,No,13614256.91,21181.34558
Vista Del Mar Park,Open Access,0.83735368,"Los Angeles, City of",City Agency,Local Park,33.9443616,-118.4415375,8204  Vista Del Mar ,Playa Del Rey,90293,No,36474.98438,1649.779741
Del Rey Lagoon Park,Open Access,10.99498694,"Los Angeles, City of",City Agency,Local Park,33.96044711,-118.4509124,6660  Esplanade Pl,Playa Del Rey,90293,No,478939.7246,7296.354341
Titmouse Park,Open Access,0.2855924,"Los Angeles, City of",City Agency,Local Park,33.96118216,-118.4460139,415  Culver Blvd,Playa Del Rey,90293,No,12440.35645,450.268885
Dockweiler State Beach,Open Access,6.38536135,"Los Angeles, City of",City Agency,Natural Areas,33.95027733,-118.4460331,12001 Vista Del Mar,Playa Del Rey,90293,No,278145.2295,7775.148354
Trask Triangle Park,Open Access,0.14948368,"Los Angeles, City of",City Agency,Regional Open Space,33.95214435,-118.4423074,Playa Del Rey,Playa Del Rey,90293,No,6511.479492,339.2641528
Grevillea Park,Open Access,1.07371655,"Inglewood, City of",City Agency,Regional Open Space,33.96075337,-118.3547334,101-,Inglewood,90301,No,46770.90527,1572.478599
Ashwood Park,Open Access,1.66330867,"Inglewood, City of",City Agency,Local Park,33.95871907,-118.3684722,Inglewood,Inglewood,90301,No,72453.4375,2170.600305
Queen Park,Open Access,1.17791294,"Inglewood, City of",City Agency,Local Park,33.96220329,-118.3447262,Inglewood,Inglewood,90301,No,51309.68066,987.8545066
Siminski Park,Open Access,1.95636282,"Inglewood, City of",City Agency,Local Park,33.94795382,-118.3628765,9717 S Inglewood Ave,Inglewood,90301,No,85218.82422,2099.638908
Vincent Park (City of Inglewood),Open Access,50.69400091,"Inglewood, City of",City Agency,Local Park,33.97324952,-118.3434956,700 Warren Ln,Inglewood,90302,No,2208221.852,9138.529809
North Park,Open Access,2.31050499,"Inglewood, City of",City Agency,Local Park,33.97988454,-118.3478391,625 Hargrave St,Inglewood,90302,No,100645.1963,1303.207704
Rogers Park,Open Access,12.79252465,"Inglewood, City of",City Agency,Local Park,33.96844428,-118.360279,400 W Beach Ave,Inglewood,90302,No,557240.1455,3625.60461
Center Park,Open Access,1.94390177,"Inglewood, City of",City Agency,Local Park,33.93433407,-118.3368478,3704 W 111th St,Inglewood,90303,No,84676.02246,1184.021411
Lockhaven Center Playground,Open Access,0.24230865,"Inglewood, City of",City Agency,Local Park,33.93405265,-118.3396292,Inglewood,Inglewood,90303,No,10554.92285,420.2032887
Circle Park (City of Inglewood),Open Access,1.3139936,"Inglewood, City of",City Agency,Local Park,33.96365254,-118.3221148,76th St.,Inglewood,90305,No,57237.33496,966.7347265
Darby Park,Open Access,13.90744542,"Inglewood, City of",City Agency,Local Park,33.95437092,-118.3300543,3400 W Arbor Vitae St,Inglewood,90305,No,605805.8994,3585.65182
Circle Park (5th Avenue),Open Access,0.21634672,"Los Angeles - Department of Recreation and Parks, City of",City Agency,Regional Open Space,33.97093033,-118.3221025,76th St.,Inglewood,90305,No,9424.025391,350.381587
Rustic Canyon Rec. Center,Open Access,8.95837904,"Los Angeles, City of",City Agency,Local Park,34.03822945,-118.514931,601  Latimer Rd,Santa Monica,90402,No,390225.4209,2822.942483
Goose Egg Park,Open Access,0.68924557,"Santa Monica, City of",City Agency,Regional Open Space,34.02708867,-118.5035338,Santa Monica,Santa Monica,90402,No,30023.42188,636.9429514
Will Rogers State Beach,Open Access,62.60028153,California Department of Parks and Recreation,State Agency,Natural Areas,34.03472306,-118.5374677,17000 Pacific Coast Hwy,Los Angeles,90272,No,2726857.351,34034.9019
Dockweiler State Beach,Open Access,244.9438134,California Department of Parks and Recreation,State Agency,Natural Areas,33.94399729,-118.4439185,12001 Vista Del Mar,Playa Del Rey,90293,No,10669709.83,51488.95014
Dockweiler State Beach,Open Access,11.08575658,California Department of Parks and Recreation,State Agency,Natural Areas,33.95802212,-118.4530369,12001 Vista Del Mar,Playa Del Rey,90293,No,482893.626,6652.133461
Venice City Beach,Open Access,114.2356593,"Los Angeles, City of",City Agency,Regional Open Space,33.98411235,-118.4723784,Venice,Venice,90292,No,4976085.42,28308.04806
