PARK_NAME,ACCESS_TYP,GIS_ACRES,AGNCY_NAME,AGNCY_TYP,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,IS_COUNTY,Shape__Area,Shape__Length
Beverly Gardens Park,Open Access,50.41516196,"Beverly Hills, City of",City Agency,Regional Open Space,34.07396355,-118.4003922,9439 N Santa Monica Blvd,Beverly Hills,90210,No,2196075.672,18659.91492
Will Rogers Memorial Park,Open Access,3.05501195,"Beverly Hills, City of",City Agency,Local Park,34.08043242,-118.4125722,Beverly Hills,Beverly Hills,90210,No,133075.7881,1701.050883
Coldwater Canyon Park (City of Beverly Hills),Open Access,5.20073775,"Beverly Hills, City of",City Agency,Local Park,34.09061816,-118.4116037,1100 N Beverly Dr,Beverly Hills,90210,No,226543.2266,3820.902683
Rexford Rest Mini Park,Open Access,0.3635489,"Beverly Hills, City of",City Agency,Regional Open Space,34.0718527,-118.3983496,362 N Rexford Dr,Beverly Hills,90210,No,15836.12695,566.9441998
Maltz Park,Open Access,1.21690109,"Beverly Hills, City of",City Agency,Local Park,34.07668958,-118.4201423,Beverly Hills,Beverly Hills,90210,No,53007.99805,910.0649847
" Beverly Hills, City of",Open Access,3.45895979,"Beverly Hills, City of",City Agency,Natural Areas,34.07221241,-118.3948538,455 N Rexford Dr,Beverly Hills,90210,No,150671.6885,5136.52171
Rexford Reservoir,Open Access,1.91423026,"Beverly Hills, City of",City Agency,Local Park,34.08323436,-118.4093171,269 S Maple Dr,Beverly Hills,90210,No,83383.53809,1245.31655
Sierra Park,Open Access,0.17040331,"Beverly Hills, City of",City Agency,Local Park,34.08915545,-118.3940723,Sierra Dr,Beverly Hills,90210,No,7422.735352,467.280549
Beverly Canon Gardens Park,Open Access,0.73544462,"Beverly Hills, City of",City Agency,Regional Open Space,34.06806961,-118.3992147,241 N Canon Dr,Beverly Hills,90210,No,32035.83887,840.5583556
Crescent Mini Park,Open Access,0.25550411,"Beverly Hills, City of",City Agency,Local Park,34.06793726,-118.3960491,240 N Crescent Dr,Beverly Hills,90210,No,11129.71582,449.4715316
Franklin Canyon Park,Open Access,569.9973364,"Los Angeles - Department of Water and Power, City of",City Agency,Regional Open Space,34.11258078,-118.4118099,2600 Franklin Canyon Dr,Beverly Hills,90210,No,24828984.66,93955.46192
Gateway Triangle,Open Access,0.04317709,"Los Angeles, City of",City Agency,Regional Open Space,34.07996762,-118.4227436,Beverly Hills,Beverly Hills,90210,No,1880.788086,230.0572897
Virginia Robinson Gardens,Open Access,6.15278164,"Los Angeles, County of",County Agency,Regional Open Space,34.08662605,-118.4175208,1008 Eldan Way,Beverly Hills,90210,Yes,268014.0957,2276.76833
